Nº:,Coloração Shiny,Nome:,Nome Japonês:,Espécie:,Peso:,Altura:,Tipo:,Linha Evolutiva:,Descrição:,image
 460,/conteudo/imgs/dw/460.png, Abomasnow, Yukinooh, Pokémon Árvore Congelada," 135,5 kg (298.7 lbs)"," 2,2 m (703)", Planta/Gelo, Snover > lv. 40 > Abomasnow," Ele vive uma vida tranquila nas montanhas que estão perpetuamente cobertos de neve. Ele se esconde provocando nevascas, o que lhe acarretou o apelido de monstro do gelo.",/conteudo/imgs/dw/460.png
 617,/conteudo/imgs/dw/617.png, Accelgor, Agirudaa, Pokémon Fora da Concha," 25,3 kg (55.8 lbs)"," 0,8 m (207)", Inseto, Shelmet > Troca pelo Karrablast > Accelgor," Tendo removido sua concha pesada, ele se torna muito leve e pode lutar com movimentos semelhantes aos dos ninjas.",/conteudo/imgs/dw/617.png
 681,/conteudo/imgs/dw/681-blade.png, Aegislash (Forma Lâmina), Girguard, Pokémon Espada Real,"53,0 kg (116.8 lbs)"," 1,7 m (507)", Metálico/Fantasma, Honedge > lv.35 > Doublade > Pedra do Anoitecer > Aegislash," Aparentemente, ele pode detectar qualidades inatas de liderança. Segundo a lenda, quem quer que ele reconhece é destinado a se tornar rei. Ele assume a postura da forma lâmina para atacar.",/conteudo/imgs/dw/681-blade.png
 050,/conteudo/imgs/dw/050-alolan.png, Alolan Diglett, Alolan Digda, Pokémon Toupeira,"1,0 kg (2.2 lbs)"," 0,2 m (008)", Terra/Metálico, Alolan Diglett > lv.26 > Alolan Dugtrio," Os Digletts da região de Alola vivem perto das áreas vulcânicas, por isso existem poucos lugares onde eles possam se esconder. A sua atividade de escavação tem o poder de arar a terra, criando terrenos de cultivo ideais para a agricultura. Por essa razão, muitas pessoas da região de Alola agradecem a presença dos Digletts. A espécie de cabelos que brota da cabeça deles são bigodes metálicos. Eles podem se comunicar com seus companheiros balançando esses bigodes para frente e para trás. É dito que se desenvolveram estes bigodes rígidos, mas flexíveis, para serem capazes de sobreviver em ambientes vulcânicos hostis. Os bigodes têm uma função sensorial, permitindo aos Diglett Alolanos analisarem a área ao redor sem terem de se expor em cima do solo. O seu estado emocional é revelado pelos seus bigodes. Quando os bigodes estão esticados significa que os Digletts estão zangados. Quando os bigodes abanam é sinal de que eles estão em alerta. Quando balançam os bigodes significa que estão de bom humor e quando estes estão caídos quer dizer que se sentem solitários e desanimados.",/conteudo/imgs/dw/050-alolan.png
 074,/conteudo/imgs/dw/074-alolan.png, Alolan Geodude, Alolan Ishitsubute, Pokémon Rocha,"20,3 kg (44.8 lbs)"," 0,4 m (104)", Pedra/Elétrico, Alolan Geodude > lv. 25 > Alolan Graveler > Troca > Alolan Golem," O seu corpo é uma pedra magnética. A areia ferrosa adere com firmeza às zonas do seu corpo que são particularmente magnéticas. Se você pisar acidentalmente num Geodude Alolano que esteja dormindo no chão, ouvirá um som triturante e sentirá uma onda de choque percorrendo por todo o seu corpo.",/conteudo/imgs/dw/074-alolan.png
 076,/conteudo/imgs/dw/076-alolan.png, Alolan Golem, Alolan Gorounya, Pokémon Megaton,"316,0 kg (696.7 lbs)"," 1,7 m (507)", Pedra/Elétrico, Alolan Geodude > lv. 25 > Alolan Graveler > Troca > Alolan Golem," Ele pode atirar rochas carregadas de eletricidade. Mesmo que o disparo da rocha não tenha sido muito preciso, um pequeno raspão em um adversário provocará sonolência e desmaio. Uma vez que não consegue atirar pedras em um ritmo muito rápido, tem-se conhecimento de que os Golem Alolanos apanham os Geodudes Alolanos que estão nas proximidades e os lança a partir das suas costas.",/conteudo/imgs/dw/076-alolan.png
 105,/conteudo/imgs/dw/105-alolan.png, Alolan Marowak, Alolan Garagara, Pokémon Guarda-Ossos,"34,0 kg (75.0 lbs)"," 1,0 m (303)", Fogo/Fantasma, Cubone > lv. 28 à noite em Alola > Alolan Marowak," Os Marowaks da região de Alola pegam ossos e incendeiam ambas as extremidades ao esfregá-las contra as suas testas. Em seguida, eles giram os ossos por aí! A raridade desse Marowak e sua aparência assustadora enquanto dança exibindo o seu osso levou o povo de Alola a apelidá-lo de mágico e a temê-lo. Existem muitos pokémons de planta (inimigos naturais dos Marowak) na região de Alola. Isso faz com que Alola seja um ambiente hostil para os Cubone e Marowak. Como resultado, eles vivem em estreita união com os seus parceiros. Dizem que o carinho que eles têm para com os seus parceiros lhes permitiu criar uma espécie de sexto sentido, que resultou na sua mudança de forma. Os ossos que ele possui eram de sua mãe. Os arrependimentos de sua mãe tornaram-se como um espírito vingativo protegendo este pokémon. Seu costume é lamentar pelos seus companheiros perdidos. Montes de terra nas laterais de estradas marcam as sepulturas de Marowaks. O Marowak Alolano é extremamente hábil nos ataques, agitando o seu osso e liberando uma bola de fogo. Apesar de não serem muito poderosas, essas bolas de fogo perseguem incessantemente o inimigo!",/conteudo/imgs/dw/105-alolan.png
 052,/conteudo/imgs/dw/052-alolan.png, Alolan Meowth, Alolan Nyasu, Pokémon Gato Arranhão,"4,2 kg (9.3 lbs)"," 0,4 m (104)", Noturno, Alolan Meowth > Felicidade > Alolan Persian," O Meowth é um pokémon que não vivia originalmente na região de Alola. Eles foram enviados para a realeza como uma oferenda de outra região e apenas alguns podiam tê-los como parceiros. Os Meowth de Alola se distinguem por sua astúcia e grande orgulho. Duas coisas que eles realmente detestam: que o seu orgulho seja ferido e que haja sujeira em suas moedas. Se acontecer alguma das duas, eles entram em histeria! Os Meowths que foram oferecidos à família real viveram uma vida repleta de luxos e comodidades, tornando-se criaturas egoístas e orgulhosas. Isso causou essa mudança de forma em Meowth. O antes raro Meowth Alolano tornou-se selvagem quando a monarquia foi destruída e transformou-se agora num pokémon comum, visto regularmente tanto em Alola como nos outros lugares.",/conteudo/imgs/dw/052-alolan.png
 089,/conteudo/imgs/dw/089-alolan.png, Alolan Muk, Alolan Betbeton, Pokémon Lodo,"52,0 kg (114.6 lbs)"," 1,0 m (303)", Veneno/Noturno, Alolan Grimer > lv. 38 > Alolan Muk," O Muk Alolano come tudo o que vê pela frente sem parar e, se sentir qualquer dor aguda provocada pela fome, torna-se extremamente selvagem. O lixo que come causa mudanças químicas contínuas em seu corpo, que produzem sua coloração extremamente vívida. Acredita-se que o seu apetite voraz provém da incapacidade de manter os seus níveis de energia, sem uma constante ingestão de toxinas. As toxinas acumularam-se no corpo do Muk de Alola devido à sua dieta constante à base de vários resíduos de lixo e materiais manufaturados. Esta acumulação provocou uma alteração química que levou à produção de um novo tipo de toxina. Embora costumam ser calmos e amigáveis, se não se alimentarem de lixo por um tempo, podem esmagar todo o mobiliário de seu treinador e comer os fragmentos. O Muk Alolano possui o mesmo tipo de cristais tóxicos que o Grimer Alolano. Estes não existem apenas em sua boca, mas sim por toda a superfície do seu corpo. Ele os utiliza para atacar os seus adversários, da mesma forma que alguns pokémons utilizam as suas presas ou garras. E estes cristais altamente tóxicos se soltam facilmente, tornando-os extremamente perigosos! Os Grimers e Muks da região de Alola produzem e armazenam as toxinas no interior de seus corpos. Por isso, ao contrário dos Grimers e do Muks de outras regiões, não conseguirá detectar quaisquer odores desagradáveis quando se aproximar de algum deles.",/conteudo/imgs/dw/089-alolan.png
 020,/conteudo/imgs/dw/020-alolan.png, Alolan Raticate, Alolan Ratta, Pokémon Rato,"25,5 kg (56.2 lbs)"," 0,7 m (204)", Noturno/Normal, Alolan Rattata > lv.20 à noite > Alolan Raticate," Como as áreas urbanas são o seu principal habitat, a sua dieta é mais calórica do que a dos Raticate comuns. Por conta disso, eles se tornaram mais robustos. Os Raticates Alolanos preferem comer apenas frutas frescas e ingredientes de alta qualidade. Existem rumores de que um certo restaurante de luxo se aproveita das papilas gustativas do Raticate de Alola, levando-o consigo sempre que necessitam comprar ingredientes, fazendo-o provar novos pratos. Os Raticates Alolanos armazenam constantemente enormes quantidades de comida nos seus ninhos. Eles preferem enviar os Rattata Alolanos em busca de comida, enquanto eles próprios permanecem nos seus ninhos apenas para comer. Cada Raticate Alolano tem o seu próprio grupo de Rattatas Alolanos, disputas por alimentos acontecem com frequência entre eles.",/conteudo/imgs/dw/020-alolan.png
