Altura,Coloração Shiny,Descrição,Espécie,Imagem,Linha Evolutiva,Nome,Nome Japonês,Nº,Peso,Tipo
"0,7 m (204)",https://www.serebii.net/Shiny/SM/001.png,"O bulbo em suas  			costas está cheio de nutrientes. Nele, Bulbasaur armazena suas  			energias. O bulbo vai crescendo à medida que envelhece porque ele  			absorve os raios de sol.",Pokémon Semente,https://pokemythology.net/conteudo/imgs/dw/001.png,Bulbasaur > lv.16 >  			Ivysaur > lv.32 > Venusaur,Bulbasaur,Fushigidane,0,"6,9 kg (15.2 lbs)",Planta/Veneno
"1,0 m (303)",https://www.serebii.net/Shiny/SM/002.png,"A luz solar fará a  			flor em suas costas crescer. Conforme Ivysaur for crescendo, essa  			flor irá desabrochar. Ela irá soltar um doce aroma quando florescer.",Pokémon Semente,https://pokemythology.net/conteudo/imgs/dw/002.png,Bulbasaur > lv.16 >  			Ivysaur > lv.32 > Venusaur,Ivysaur,Fushigisou,0,"13,0 kg (28.7 lbs)",Planta/Veneno
"2,0 m (607)",https://www.serebii.net/Shiny/SM/003.png,"A luz solar que a  			flor de suas costas absorve produz energia para seu corpo. Por esta  			razão, ele fica mais forte no verão. O aroma dessa flor pode acalmar  			as emoções das pessoas.",Pokémon Semente,https://pokemythology.net/conteudo/imgs/dw/003.png,Bulbasaur > lv.16 >  			Ivysaur > lv.32 > Venusaur,Venusaur,Fushigibana,0,"100,0 kg (220.5 lbs)",Planta/Veneno
"0,6 m (200)",https://www.serebii.net/Shiny/SM/004.png,"A chama que possui na  			ponta de seu rabo mostra a força de sua vida. Se ele estiver fraco,  			a chama irá diminuir. Quando está saudável, a chama brilhará  			intensamente.",Pokémon Lagarto,https://pokemythology.net/conteudo/imgs/dw/004.png,Charmander > lv.16 >  			Charmeleon > lv.36 > Charizard,Charmander,Hitokage,0,"8,5 kg (18.7 lbs)",Fogo
"1,1 m (307)",https://www.serebii.net/Shiny/SM/005.png,"Gosta muito de  			brigas, por isso busca constantemente por adversários. Ele ataca com  			suas garras afiadas e usando sua cauda como chicote de fogo. Pode  			soltar chamas azuis quando muito animado.",Pokémon Chama,https://pokemythology.net/conteudo/imgs/dw/005.png,Charmander > lv.16 >  			Charmeleon > lv.36 > Charizard,Charmeleon,Lizard,0,"19,0 kg (41.9 lbs)",Fogo
"1,7 m (507)",https://www.serebii.net/Shiny/SM/006.png,"Seu fogo é quente o  			suficiente para derreter rochas. Quando nervoso, a chama em sua  			cauda queimará intensamente. É orgulhoso e voa pelos céus em busca  			de adversários poderosos.",Pokémon Chama,https://pokemythology.net/conteudo/imgs/dw/006.png,Charmander > lv.16 >  			Charmeleon > lv.36 > Charizard,Charizard,Lizardon,0,"90,5 kg (199.5 lbs)",Fogo/Voador
"0,5 m (108)",https://www.serebii.net/Shiny/SM/007.png,"Quando nasce, seu  			casco é mole, mas logo endurece. Cutucando com o dedo fará os  			pedaços de seu casco saltar. Ele entra dentro do casco quando se  			sente ameaçado.",Pokémon Mini Tartaruga,https://pokemythology.net/conteudo/imgs/dw/007.png,Squirtle > lv.16 >  			Wartortle > lv.36 > Blastoise,Squirtle,Zenigame,0,"9,0 kg (19.8 lbs)",Água
"1,0 m (303)",https://www.serebii.net/Shiny/SM/008.png,"É muito inteligente,  			sabe controlar as orelhas e o rabo para manter o equilíbrio na água  			e nadar em altas velocidades. Seu rabo felpudo é símbolo de  			longevidade",Pokémon Tartaruga,https://pokemythology.net/conteudo/imgs/dw/008.png,Squirtle > lv.16 >  			Wartortle > lv.36 > Blastoise,Wartortle,Kamer,0,"22,5 kg (49.6 lbs)",Água
"1,6 m (503)",https://www.serebii.net/Shiny/SM/009.png,O casco em suas  			costas possuem canhões que jorram água pressurizada forte o  			suficiente para perfurar uma parede de concreto. Também usa o seu  			casco pesado para atacar.,Pokémon Crustáceo,https://pokemythology.net/conteudo/imgs/dw/009.png,Squirtle > lv.16 >  			Wartortle > lv.36 > Blastoise,Blastoise,Kamex,0,"85,5 kg (188.5 lbs)",Água
"0,3 m (100)",https://www.serebii.net/Shiny/SM/010.png,"Como forma de  			proteção, Caterpie libera um cheiro horrível através de suas  			antenas. Suas patas pegajosas são capazes de andar em qualquer tipo  			de superfície.",Pokémon Verme,https://pokemythology.net/conteudo/imgs/dw/010.png,Caterpie > lv.7 >  			Metapod > lv.10 > Butterfree,Caterpie,Catapie,0,"2,9 kg (6.4 lbs)",Inseto
"0,7 m (204)",https://www.serebii.net/Shiny/SM/011.png,"Este pokémon é  			totalmente vulnerável a ataques enquanto seu casulo é mole, correndo  			risco de expor seu corpo frágil e sensível. Por isso, fica  			endurecendo o seu casulo para se proteger.",Pokémon Casulo,https://pokemythology.net/conteudo/imgs/dw/011.png,Caterpie > lv.7 >  			Metapod > lv.10 > Butterfree,Metapod,Trancel,0,"9,9 kg (21.8 lbs)",Inseto
"1,1 m (307)",https://www.serebii.net/Shiny/SM/012.png,"Gosta de coletar mel  			das plantas. Suas asas batem tão rapidamente que acaba deixando um  			rastro de poeira tóxica pelo ar. As asas resistem a água,  			permitindo-o voar em fortes chuvas.",Pokémon Borboleta,https://pokemythology.net/conteudo/imgs/dw/012.png,Caterpie > lv.7 >  			Metapod > lv.10 > Butterfree,Butterfree,Batterfree,0,"32,0 kg (70.5 lbs)",Inseto/Voador
"0,3 m (100)",https://www.serebii.net/Shiny/SM/013.png,"É frequentemente  			encontrado em florestas, comendo folhas. Em sua cabeça existe um  			ferrão afiado e venenoso. Qualquer um pode se machucar com ele se  			não tomar cuidado onde pisa.",Pokémon Peludo,https://pokemythology.net/conteudo/imgs/dw/013.png,Weedle > lv.7 >  			Kakuna > lv.10 > Beedrill,Weedle,Beedle,0,"3,2 kg (7.1 lbs)",Inseto/Veneno
"0,6 m (200)",https://www.serebii.net/Shiny/SM/014.png,"Enquanto aguarda sua  			evolução, os Kakunas vivem agarrados em árvores para se esconder dos  			predadores. Embora ainda seja um casulo, consegue se mexer um pouco.",Pokémon Casulo,https://pokemythology.net/conteudo/imgs/dw/014.png,Weedle > lv.7 >  			Kakuna > lv.10 > Beedrill,Kakuna,Kokoon,0,"10,0 kg (22,0 lbs)",Inseto/Veneno
"1,0 m (303)",https://www.serebii.net/Shiny/SM/015.png,Possui dois grandes  			ferrões nos braços e um em seu rabo. O ferrão de seu rabo é o mais  			venenos. Costumam voar em altas velocidades e atacar em enxame.,Pokémon Abelha Venenosa,https://pokemythology.net/conteudo/imgs/dw/015.png,Weedle > lv.7 >  			Kakuna > lv.10 > Beedrill,Beedrill,Spear,0,"29,5 kg (65.0 lbs)",Inseto/Veneno
"0,3 m (100)",https://www.serebii.net/Shiny/SM/016.png,"Não gosta muito de  			lutar. Em vez disso, prefere bater as asas próximo ao chão para  			levantar uma poeira de areia e com isso afastar o inimigo. Possui um  			ótimo senso de direção.",Pokémon Mini Pássaro,https://pokemythology.net/conteudo/imgs/dw/016.png,Pidgey > lv.18 >  			Pidgotto > lv.36 > Pidgeot,Pidgey,Poppo,0,"1,8 kg (4.0 lbs)",Normal/Voador
"1,1 m (307)",https://www.serebii.net/Shiny/SM/017.png,"Ele é muito protetor  			de seu território, sempre irá atacar brutalmente qualquer intruso.  			Possui uma ótima visão e garras bastante desenvolvidas, essenciais  			para caçar suas presas.",Pokémon Pássaro,https://pokemythology.net/conteudo/imgs/dw/017.png,Pidgey > lv.18 >  			Pidgotto > lv.36 > Pidgeot,Pidgotto,Pidgeon,0,"30,0 kg (66.1 lbs)",Normal/Voador
